"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1000.4","1004.7","25.1","23.1","89","1.6","310","3.7","200","0.0","0.0","...","0.00","...","0","..."
"02","999.9","1004.2","24.8","22.7","88","2.4","340","3.7","330","0.0","0.0","...","0.00","...","0","..."
"03","1000.2","1004.5","24.7","22.5","88","1.3","310","3.2","320","0.0","0.0","...","0.00","...","0","..."
"04","1000.4","1004.7","24.7","22.4","87","1.6","320","3.6","320","0.0","0.0","...","0.00","...","0","..."
"05","1000.4","1004.7","24.8","22.5","87","2.0","340","3.1","340","0.0","0.0","...","0.00","...","0","..."
"06","1001.1","1005.4","25.2","22.9","87","2.0","330","3.0","310","0.0","0.0","0.0","0.03","...","0","..."
"07","1001.6","1005.9","27.0","24.0","84","1.6","240","2.5","330","0.0","0.0","0.0","0.29","...","0","..."
"08","1001.9","1006.2","28.0","25.3","85","0.3","320","4.3","210","0.0","0.0","0.4","1.20","...","2","..."
"09","1002.2","1006.5","27.9","24.3","81","0.5","180","2.7","170","0.0","0.0","1.0","2.25","...","5","..."
"10","1002.4","1006.7","28.1","25.4","85","1.1","190","2.6","210","0.0","0.0","0.9","2.34","...","7","..."
"11","1002.4","1006.6","29.3","26.7","86","1.8","210","2.9","210","0.0","0.0","0.6","2.34","...","8","..."
"12","1001.6","1005.8","28.8","26.1","85","1.3","170","2.7","200","0.0","0.0","0.9","2.90","...","10","..."
"13","1001.7","1005.9","29.3","26.4","84","1.1","200","2.4","210","0.0","0.0","0.6","2.90","...","10","..."
"14","1001.8","1006.0","29.4","25.7","81","0.6","190","2.2","160","0.0","0.0","0.8","2.54","...","8","..."
"15","1001.4","1005.6","28.6","24.9","80","0.0","0","2.0","170","0.0","0.0","0.4","1.35","...","4","..."
"16","1001.2","1005.4","28.2","23.9","78","2.4","20","4.8","20","0.0","0.0","0.0","0.27","...","1","..."
"17","1001.0","1005.3","27.7","24.2","81","1.5","10","3.4","40","0.0","0.0","0.0","0.21","...","1","..."
"18","1000.9","1005.2","27.5","23.9","81","1.5","40","3.8","40","0.0","0.0","0.0","0.11","...","0","..."
"19","1001.6","1005.9","26.8","23.8","84","2.1","360","3.4","20","0.0","0.0","0.0","0.03","...","0","..."
"20","1002.7","1007.0","25.7","23.0","85","0.6","280","3.5","30","0.0","0.0","...","0.00","...","0","..."
"21","1003.8","1008.1","26.0","23.2","85","1.9","350","3.7","40","0.0","0.0","...","0.00","...","0","..."
"22","1004.3","1008.6","27.1","23.0","78","1.5","240","2.7","10","0.0","0.0","...","0.00","...","0","..."
"23","1003.9","1008.2","26.1","23.0","83","1.8","330","2.5","330","0.0","0.0","...","0.00","...","0","..."
"24","1003.8","1008.1","25.7","22.6","83","0.9","300","2.1","320","0.0","0.0","...","0.00","...","0","..."
