"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.5","1020.9","1018.1","2019-04-01 21:01","1014.7","2019-04-01 01:55","20.1","20.9","2019-04-01 10:37","19.3","2019-04-01 19:39","15.3","74","70","2019-04-01 12:09","4.7","20","11.7","20","2019-04-01 10:46","0.0","0.0","0.0","2019-04-01 00:00","0.0","2019-04-01 00:00","0.0","0.0","4.06","...","...","2","2019-04-01 11:00","..."
"02","1014.5","1018.9","1017.1","2019-04-02 00:01","1012.0","2019-04-02 15:28","21.6","26.6","2019-04-02 11:42","19.4","2019-04-02 03:05","16.9","75","64","2019-04-02 11:47","2.5","20","7.1","30","2019-04-02 04:08","0.0","0.0","0.0","2019-04-02 00:00","0.0","2019-04-02 00:00","1.9","15.4","15.29","...","...","11","2019-04-02 12:00","..."
"03","1012.2","1016.6","1013.6","2019-04-03 08:31","1010.6","2019-04-03 15:07","22.4","26.1","2019-04-03 11:05","19.1","2019-04-03 05:22","19.2","83","73","2019-04-03 11:20","2.3","330","10.3","40","2019-04-03 21:48","19.2","3.6","5.5","2019-04-03 18:50","12.8","2019-04-03 18:47","2.0","16.2","12.30","...","...","7","2019-04-03 11:00","..."
"04","1010.6","1014.9","1013.3","2019-04-04 00:01","1008.7","2019-04-04 15:52","23.7","27.1","2019-04-04 11:20","20.1","2019-04-04 04:01","20.7","83","73","2019-04-04 12:43","1.8","320","7.4","180","2019-04-04 23:51","0.7","0.5","0.5","2019-04-04 23:38","0.7","2019-04-04 23:30","5.8","46.9","19.02","...","...","11","2019-04-04 12:00","..."
"05","1007.9","1012.2","1010.3","2019-04-05 21:07","1005.8","2019-04-05 14:56","24.3","29.4","2019-04-05 12:02","21.1","2019-04-05 20:15","21.6","85","73","2019-04-05 12:07","3.0","30","11.3","30","2019-04-05 17:15","10.4","4.4","2.0","2019-04-05 16:55","7.0","2019-04-05 16:23","3.7","29.8","15.14","...","...","11","2019-04-05 13:00","..."
"06","1008.6","1012.9","1010.4","2019-04-06 09:33","1006.7","2019-04-06 15:02","23.2","26.4","2019-04-06 09:38","20.8","2019-04-06 05:01","20.3","84","76","2019-04-06 09:01","1.7","330","5.0","40","2019-04-06 00:17","0.1","0.2","0.1","2019-04-06 00:40","0.1","2019-04-06 00:40","1.9","15.3","12.87","...","...","8","2019-04-06 12:00","..."
"07","1007.1","1011.5","1008.5","2019-04-07 22:14","1005.1","2019-04-07 14:54","24.0","28.0","2019-04-07 10:53","20.7","2019-04-07 04:49","20.2","79","71","2019-04-07 14:02","2.6","330","10.3","30","2019-04-07 16:51","0.0","0.0","0.0","2019-04-07 00:00","0.0","2019-04-07 00:00","6.5","52.2","19.37","...","...","11","2019-04-07 12:00","..."
"08","1008.2","1012.6","1009.8","2019-04-08 21:35","1006.5","2019-04-08 02:54","25.0","30.1","2019-04-08 12:40","20.8","2019-04-08 01:38","20.8","78","64","2019-04-08 10:10","2.3","40","8.7","50","2019-04-08 10:07","0.0","0.0","0.0","2019-04-08 00:00","0.0","2019-04-08 00:00","7.6","60.9","20.81","...","...","9","2019-04-08 13:00","..."
"09","1006.1","1010.4","1009.3","2019-04-09 00:03","1003.0","2019-04-09 16:24","25.9","28.7","2019-04-09 10:24","21.9","2019-04-09 02:36","22.3","81","70","2019-04-09 05:42","2.2","190","12.5","190","2019-04-09 16:26","0.0","0.0","0.0","2019-04-09 00:00","0.0","2019-04-09 00:00","7.5","60.0","21.90","...","...","10","2019-04-09 13:00","..."
"10","1005.2","1009.4","1008.7","2019-04-10 22:27","1003.3","2019-04-10 03:19","25.4","31.6","2019-04-10 14:29","21.5","2019-04-10 05:59","21.8","81","54","2019-04-10 14:32","3.8","20","17.4","30","2019-04-10 14:46","1.1","1.7","0.3","2019-04-10 19:20","0.8","2019-04-10 19:10","9.8","78.3","24.60","...","...","10","2019-04-10 13:00","..."
"11","1006.0","1010.4","1008.8","2019-04-11 23:06","1002.7","2019-04-11 15:38","24.3","27.2","2019-04-11 12:02","22.2","2019-04-11 02:52","21.1","83","75","2019-04-11 23:22","3.0","10","14.9","10","2019-04-11 21:05","0.0","0.0","0.0","2019-04-11 00:00","0.0","2019-04-11 00:00","3.3","26.3","16.50","...","...","10","2019-04-11 12:00","..."
"12","1011.4","1015.8","1014.1","2019-04-12 22:23","1008.2","2019-04-12 02:02","21.2","23.0","2019-04-12 00:53","20.1","2019-04-12 06:20","18.2","83","75","2019-04-12 00:01","4.0","10","12.6","10","2019-04-12 03:07","0.5","0.0","0.5","2019-04-12 06:04","0.5","2019-04-12 05:14","0.0","0.0","5.46","...","...","4","2019-04-12 13:00","..."
