"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","999.6","...","25.7","...","91","1.2","109","...","...","0.0","...","...","...","...","...","..."
"02","999.5","...","25.1","...","92","1.3","99","...","...","0.0","...","...","...","...","...","..."
"03","999.2","...","25.4","...","88","0.6","87","...","...","0.0","...","...","...","...","...","..."
"04","999.4","...","24.9","...","91","0.0","0","...","...","0.0","...","...","...","...","...","..."
"05","999.6","...","24.4","...","92","1.9","104","...","...","0.0","...","...","...","...","...","..."
"06","1000.1","...","25.0","...","88","1.4","105","...","...","0.0","...","...","...","...","...","..."
"07","1000.6","...","28.4","...","79","0.8","96","...","...","0.0","...","...","...","...","...","..."
"08","1000.6","...","29.8","...","76","1.4","241","...","...","0.0","...","...","...","...","...","..."
"09","1000.6","...","30.8","...","70","2.3","231","...","...","0.0","...","...","...","...","...","..."
"10","1000.2","...","32.0","...","65","2.6","240","...","...","0.0","...","...","...","...","...","..."
"11","1000.2","...","32.3","...","64","3.0","211","...","...","0.0","...","...","...","...","...","..."
"12","999.6","...","32.0","...","66","2.8","247","...","...","0.0","...","...","...","...","...","..."
"13","999.1","...","32.7","...","64","2.8","254","...","...","0.0","...","...","...","...","...","..."
"14","998.5","...","33.3","...","61","2.9","245","...","...","0.0","...","...","...","...","...","..."
"15","998.2","...","31.7","...","65","2.7","266","...","...","0.0","...","...","...","...","...","..."
"16","997.9","...","31.5","...","69","2.3","264","...","...","0.0","...","...","...","...","...","..."
"17","997.7","...","31.2","...","72","2.5","253","...","...","0.0","...","...","...","...","...","..."
"18","997.8","...","31.0","...","72","1.7","268","...","...","0.0","...","...","...","...","...","..."
"19","998.8","...","29.8","...","78","1.3","283","...","...","0.0","...","...","...","...","...","..."
"20","999.1","...","29.0","...","83","1.0","224","...","...","0.0","...","...","...","...","...","..."
"21","999.8","...","28.8","...","86","0.0","0","...","...","0.0","...","...","...","...","...","..."
"22","999.6","...","28.4","...","87","1.1","190","...","...","0.0","...","...","...","...","...","..."
"23","999.4","...","28.3","...","88","0.5","176","...","...","0.0","...","...","...","...","...","..."
"24","999.3","...","28.0","...","90","0.8","206","...","...","0.0","...","...","...","...","...","..."
