"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","997.9","...","999.3","2019-06-01 22:49","995.5","2019-06-01 15:37","27.0","31.3","2019-06-01 15:29","23.8","2019-06-01 05:31","...","84","65","2019-06-01 15:30","1.5","106","7.9","256","2019-06-01 15:53","6.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","997.7","...","999.5","2019-06-02 22:22","995.6","2019-06-02 16:26","28.1","33.1","2019-06-02 13:43","24.4","2019-06-02 04:45","...","78","54","2019-06-02 16:27","1.6","189","7.5","221","2019-06-02 13:58","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","998.2","...","999.5","2019-06-03 22:06","997.2","2019-06-03 04:09","27.8","31.1","2019-06-03 16:20","24.3","2019-06-03 05:23","...","73","53","2019-06-03 15:55","1.3","39","6.9","256","2019-06-03 14:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","999.4","...","1001.3","2019-06-04 11:51","997.5","2019-06-04 02:51","25.8","31.1","2019-06-04 11:04","23.0","2019-06-04 11:50","...","84","67","2019-06-04 07:25","0.9","92","13.4","191","2019-06-04 11:46","38.5","...","...","","...","","...","...","...","...","...","...","","..."
"05","1000.3","...","1002.4","2019-06-05 22:18","999.0","2019-06-05 04:52","27.6","33.4","2019-06-05 13:34","23.6","2019-06-05 05:32","...","79","53","2019-06-05 11:18","1.3","98","5.9","298","2019-06-05 13:44","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1000.8","...","1002.1","2019-06-06 10:00","999.4","2019-06-06 02:50","27.9","34.2","2019-06-06 12:11","23.2","2019-06-06 17:37","...","79","55","2019-06-06 12:17","1.3","99","12.2","117","2019-06-06 16:28","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1000.5","...","1001.9","2019-06-07 08:17","998.8","2019-06-07 15:42","28.7","34.6","2019-06-07 12:59","24.4","2019-06-07 05:12","...","77","50","2019-06-07 12:36","1.3","107","7.6","319","2019-06-07 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","998.7","...","1000.5","2019-06-08 07:57","996.8","2019-06-08 23:59","28.0","31.6","2019-06-08 10:48","24.5","2019-06-08 05:21","...","78","62","2019-06-08 10:48","1.2","100","5.8","303","2019-06-08 14:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","996.6","...","998.5","2019-06-09 07:24","995.0","2019-06-09 17:27","28.9","33.2","2019-06-09 12:48","25.1","2019-06-09 05:39","...","71","50","2019-06-09 12:36","1.6","212","7.5","210","2019-06-09 12:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","994.8","...","995.7","2019-06-10 12:56","993.8","2019-06-10 17:50","27.3","32.8","2019-06-10 09:56","24.2","2019-06-10 16:09","...","77","50","2019-06-10 09:59","1.3","185","8.4","208","2019-06-10 09:42","34.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","995.0","...","997.3","2019-06-11 23:14","992.8","2019-06-11 04:52","25.7","28.5","2019-06-11 06:33","24.0","2019-06-11 13:46","...","88","69","2019-06-11 06:28","1.4","2","9.1","157","2019-06-11 13:00","102.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","996.0","...","997.2","2019-06-12 09:14","994.6","2019-06-12 01:55","24.2","25.4","2019-06-12 16:48","23.0","2019-06-12 06:06","...","97","84","2019-06-12 01:12","0.8","24","6.1","224","2019-06-12 13:21","141.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","993.6","...","995.9","2019-06-13 08:10","991.5","2019-06-13 17:33","26.8","32.9","2019-06-13 13:36","24.3","2019-06-13 23:52","...","87","60","2019-06-13 13:36","1.3","105","10.5","194","2019-06-13 13:53","11.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","991.6","...","993.7","2019-06-14 22:09","990.0","2019-06-14 15:19","25.7","28.3","2019-06-14 14:40","23.3","2019-06-14 11:16","...","91","78","2019-06-14 16:53","1.1","34","9.7","165","2019-06-14 03:47","60.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","994.6","...","996.6","2019-06-15 22:30","992.7","2019-06-15 03:00","27.2","33.0","2019-06-15 15:07","22.9","2019-06-15 05:26","...","75","48","2019-06-15 16:19","1.1","314","5.2","305","2019-06-15 14:50","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","997.1","...","999.7","2019-06-16 22:43","995.0","2019-06-16 02:53","26.5","33.0","2019-06-16 13:01","23.1","2019-06-16 04:02","...","82","56","2019-06-16 11:56","1.0","37","6.0","309","2019-06-16 14:47","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","999.5","...","1001.7","2019-06-17 22:41","998.0","2019-06-17 14:11","27.3","33.5","2019-06-17 12:39","24.1","2019-06-17 05:10","...","84","57","2019-06-17 12:39","1.2","37","8.1","91","2019-06-17 14:53","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"18","999.6","...","1000.6","2019-06-18 08:37","998.6","2019-06-18 15:59","28.9","34.8","2019-06-18 12:23","24.7","2019-06-18 04:27","...","76","49","2019-06-18 13:25","1.2","107","6.8","222","2019-06-18 13:33","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","998.5","...","999.9","2019-06-19 07:44","996.4","2019-06-19 16:54","29.6","33.6","2019-06-19 13:54","25.3","2019-06-19 04:19","...","74","55","2019-06-19 10:29","1.2","96","7.1","264","2019-06-19 14:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","997.2","...","998.4","2019-06-20 09:18","995.7","2019-06-20 15:34","28.9","33.4","2019-06-20 14:00","24.8","2019-06-20 04:28","...","77","59","2019-06-20 10:56","1.4","267","6.8","262","2019-06-20 14:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","996.4","...","997.8","2019-06-21 06:36","995.2","2019-06-21 15:51","29.2","33.4","2019-06-21 12:58","24.8","2019-06-21 02:55","...","72","54","2019-06-21 14:19","1.6","246","7.1","223","2019-06-21 11:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","995.2","...","996.6","2019-06-22 10:11","993.5","2019-06-22 16:15","29.4","32.8","2019-06-22 14:52","26.1","2019-06-22 05:44","...","70","53","2019-06-22 12:30","1.5","213","7.5","191","2019-06-22 11:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","995.8","...","998.1","2019-06-23 21:12","993.5","2019-06-23 03:12","27.8","32.5","2019-06-23 10:28","24.0","2019-06-23 13:14","...","78","54","2019-06-23 10:31","1.5","202","10.1","249","2019-06-23 13:01","9.5","...","...","","...","","...","...","...","...","...","...","","..."
"24","997.8","...","999.5","2019-06-24 22:24","995.6","2019-06-24 03:36","26.3","29.2","2019-06-24 16:18","24.1","2019-06-24 07:14","...","87","63","2019-06-24 16:14","0.9","36","6.5","143","2019-06-24 07:58","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"25","997.6","...","999.0","2019-06-26 00:00","996.2","2019-06-25 13:01","27.0","30.4","2019-06-25 16:03","24.0","2019-06-25 22:56","...","78","52","2019-06-25 16:04","1.2","30","8.1","193","2019-06-25 15:03","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"26","994.6","...","997.2","2019-06-26 00:06","992.3","2019-06-26 18:19","25.8","30.1","2019-06-26 07:49","23.5","2019-06-26 04:54","...","86","58","2019-06-26 07:48","1.1","49","7.3","193","2019-06-26 14:43","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"27","992.8","...","994.1","2019-06-27 10:42","991.1","2019-06-27 16:39","27.6","31.3","2019-06-27 16:45","24.5","2019-06-27 03:30","...","82","63","2019-06-27 17:15","1.4","108","7.9","226","2019-06-27 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","993.1","...","994.3","2019-06-28 21:55","991.1","2019-06-28 16:20","28.7","34.3","2019-06-28 12:33","24.7","2019-06-28 04:34","...","80","55","2019-06-28 12:26","1.3","235","7.4","258","2019-06-28 16:19","12.5","...","...","","...","","...","...","...","...","...","...","","..."
"29","992.8","...","994.1","2019-06-29 22:00","991.6","2019-06-29 16:27","28.4","33.0","2019-06-29 11:03","25.1","2019-06-29 05:09","...","82","61","2019-06-29 11:09","1.2","83","7.0","266","2019-06-29 12:48","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","993.2","...","994.9","2019-06-30 22:27","991.7","2019-06-30 14:09","28.0","34.0","2019-06-30 12:24","24.8","2019-06-30 05:03","...","85","56","2019-06-30 12:24","0.9","25","7.5","260","2019-06-30 13:47","19.0","...","...","","...","","...","...","...","...","...","...","","..."
