"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.9","...","1017.8","2017-04-01 23:50","1013.7","2017-04-01 05:58","17.0","21.5","2017-04-01 15:01","13.9","2017-04-01 02:18","...","70","48","2017-04-01 16:22","3.0","10","14.2","109","2017-04-01 07:17","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1018.2","...","1020.0","2017-04-02 09:20","1016.5","2017-04-02 16:17","18.2","24.4","2017-04-02 14:17","12.7","2017-04-02 06:26","...","50","31","2017-04-02 13:22","1.9","15","10.7","336","2017-04-02 15:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1018.2","...","1020.1","2017-04-03 09:07","1016.7","2017-04-03 15:18","20.4","26.4","2017-04-03 11:49","14.5","2017-04-03 04:58","...","56","30","2017-04-03 11:17","1.8","11","8.7","319","2017-04-03 15:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1016.5","...","1018.9","2017-04-04 00:04","1014.1","2017-04-04 15:43","20.8","24.4","2017-04-04 12:31","16.4","2017-04-04 05:05","...","66","50","2017-04-04 08:18","2.0","9","8.6","303","2017-04-04 14:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1013.3","...","1015.7","2017-04-06 00:00","1010.6","2017-04-05 16:06","22.9","28.1","2017-04-05 13:03","18.9","2017-04-05 05:59","...","63","39","2017-04-05 12:40","1.6","35","8.8","333","2017-04-05 14:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1011.3","...","1013.1","2017-04-06 09:19","1009.9","2017-04-06 14:07","23.9","28.4","2017-04-06 13:43","19.3","2017-04-06 05:42","...","73","46","2017-04-06 11:30","1.1","17","7.0","264","2017-04-06 14:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1010.8","...","1011.4","2017-04-07 22:08","1009.3","2017-04-07 16:18","24.7","26.5","2017-04-07 16:18","23.0","2017-04-07 23:12","...","89","75","2017-04-07 16:19","1.6","231","6.0","235","2017-04-07 16:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1010.4","...","1012.7","2017-04-08 09:35","1008.2","2017-04-08 16:25","25.5","29.3","2017-04-08 12:13","22.7","2017-04-08 05:41","...","86","58","2017-04-08 14:18","2.1","271","8.0","256","2017-04-08 14:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1007.6","...","1009.9","2017-04-10 00:00","1005.2","2017-04-09 15:20","25.7","29.7","2017-04-09 13:32","22.8","2017-04-09 05:40","...","91","66","2017-04-09 10:47","2.9","183","10.0","254","2017-04-09 16:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.1","...","1008.6","2017-04-10 09:06","1003.2","2017-04-10 17:01","27.0","31.9","2017-04-10 12:20","23.7","2017-04-10 01:42","...","77","45","2017-04-10 12:20","3.3","181","10.0","221","2017-04-10 17:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1006.6","...","1008.7","2017-04-12 00:00","1005.1","2017-04-11 04:58","26.7","30.0","2017-04-11 11:21","21.9","2017-04-12 00:00","...","84","61","2017-04-11 09:42","3.3","225","8.0","223","2017-04-11 17:13","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1010.5","...","1014.7","2017-04-12 23:37","1009.8","2017-04-12 15:17","19.5","21.3","2017-04-12 13:38","16.5","2017-04-13 00:00","...","97","88","2017-04-12 14:50","2.1","20","8.0","2","2017-04-12 22:42","38.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1014.0","...","1015.3","2017-04-13 09:14","1012.3","2017-04-13 03:59","18.4","20.8","2017-04-13 15:34","16.1","2017-04-13 04:52","...","97","87","2017-04-13 15:22","1.4","12","7.2","1","2017-04-13 00:16","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1012.3","...","1014.4","2017-04-14 00:05","1010.3","2017-04-14 15:58","23.0","27.6","2017-04-14 13:51","19.1","2017-04-14 00:11","...","90","63","2017-04-14 13:17","1.4","5","7.1","334","2017-04-14 16:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1011.5","...","1013.8","2017-04-15 09:33","1009.9","2017-04-15 17:08","25.2","29.2","2017-04-15 13:56","21.1","2017-04-15 03:01","...","86","60","2017-04-15 14:16","1.4","296","6.6","329","2017-04-15 14:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1011.1","...","1012.9","2017-04-16 09:08","1009.5","2017-04-16 16:44","26.4","30.0","2017-04-16 11:55","23.5","2017-04-16 05:32","...","87","60","2017-04-16 11:56","1.5","22","8.2","299","2017-04-16 14:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1007.8","...","1010.5","2017-04-18 00:00","1004.9","2017-04-17 17:05","27.1","31.2","2017-04-17 13:15","23.3","2017-04-17 05:32","...","86","56","2017-04-17 11:11","2.1","103","8.6","267","2017-04-17 13:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1006.6","...","1008.2","2017-04-18 22:30","1005.4","2017-04-18 04:37","26.2","29.2","2017-04-18 12:37","24.3","2017-04-18 04:02","...","95","70","2017-04-18 12:38","2.5","210","9.1","253","2017-04-18 12:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1007.7","...","1010.3","2017-04-19 22:40","1004.9","2017-04-19 16:01","26.8","30.1","2017-04-19 13:17","24.0","2017-04-19 23:53","...","93","71","2017-04-19 15:15","2.7","145","9.6","255","2017-04-19 14:38","11.5","...","...","","...","","...","...","...","...","...","...","","..."
"20","1008.1","...","1010.0","2017-04-20 09:58","1006.1","2017-04-20 16:07","26.0","29.1","2017-04-20 14:12","23.6","2017-04-20 03:32","...","93","70","2017-04-20 14:59","1.9","8","7.2","312","2017-04-20 11:51","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"21","1007.1","...","1009.1","2017-04-21 08:53","1004.4","2017-04-21 15:50","26.4","30.0","2017-04-21 12:17","22.8","2017-04-21 23:59","...","89","58","2017-04-21 12:10","2.4","219","9.2","261","2017-04-21 16:13","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.0","...","1011.3","2017-04-22 21:15","1006.2","2017-04-22 02:18","19.7","22.8","2017-04-23 00:00","17.0","2017-04-22 20:54","...","91","65","2017-04-22 12:32","2.3","17","9.9","9","2017-04-22 12:58","7.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1011.1","...","1012.7","2017-04-23 22:59","1008.9","2017-04-23 04:42","21.0","24.7","2017-04-23 12:36","17.5","2017-04-23 00:27","...","92","64","2017-04-23 14:27","1.5","29","5.1","180","2017-04-23 11:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1011.8","...","1013.3","2017-04-24 09:40","1010.3","2017-04-24 16:26","23.5","27.4","2017-04-24 12:40","20.8","2017-04-24 05:40","...","85","58","2017-04-24 12:40","1.3","3","5.4","4","2017-04-24 13:32","0.5","...","...","","...","","...","...","...","...","...","...","","..."
