"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1008.8","...","28.5","...","86","2.7","157","...","...","0.0","...","...","...","...","...","..."
"02","1008.5","...","28.5","...","88","3.0","161","...","...","0.0","...","...","...","...","...","..."
"03","1008.4","...","28.6","...","88","2.7","155","...","...","0.0","...","...","...","...","...","..."
"04","1008.3","...","28.7","...","87","2.0","162","...","...","0.0","...","...","...","...","...","..."
"05","1008.5","...","28.6","...","87","1.5","170","...","...","0.0","...","...","...","...","...","..."
"06","1009.1","...","29.5","...","84","0.4","161","...","...","0.0","...","...","...","...","...","..."
"07","1009.6","...","30.2","...","81","0.8","205","...","...","0.0","...","...","...","...","...","..."
"08","1009.8","...","30.6","...","73","2.4","204","...","...","0.0","...","...","...","...","...","..."
"09","1009.8","...","31.3","...","71","2.2","237","...","...","0.0","...","...","...","...","...","..."
"10","1009.6","...","30.8","...","76","3.5","250","...","...","0.0","...","...","...","...","...","..."
"11","1009.6","...","31.7","...","71","3.9","242","...","...","0.0","...","...","...","...","...","..."
"12","1009.3","...","31.2","...","72","4.5","239","...","...","0.0","...","...","...","...","...","..."
"13","1008.8","...","31.4","...","73","4.4","245","...","...","0.0","...","...","...","...","...","..."
"14","1008.1","...","31.1","...","75","4.2","246","...","...","0.0","...","...","...","...","...","..."
"15","1007.5","...","31.3","...","79","4.3","255","...","...","0.0","...","...","...","...","...","..."
"16","1007.2","...","30.9","...","78","3.0","261","...","...","0.0","...","...","...","...","...","..."
"17","1007.1","...","31.1","...","77","2.6","257","...","...","0.0","...","...","...","...","...","..."
"18","1007.2","...","31.1","...","79","2.3","246","...","...","0.0","...","...","...","...","...","..."
"19","1008.0","...","30.0","...","84","2.4","255","...","...","0.0","...","...","...","...","...","..."
"20","1008.4","...","29.9","...","85","2.3","246","...","...","0.0","...","...","...","...","...","..."
"21","1008.9","...","29.8","...","85","1.9","241","...","...","0.0","...","...","...","...","...","..."
"22","1008.9","...","30.1","...","84","2.3","208","...","...","0.0","...","...","...","...","...","..."
"23","1008.4","...","30.0","...","82","2.5","193","...","...","0.0","...","...","...","...","...","..."
"24","1008.4","...","29.6","...","85","3.0","165","...","...","0.0","...","...","...","...","...","..."
