"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.8","...","27.7","...","99","2.3","233","...","...","0.0","...","...","...","...","...","..."
"02","1001.5","...","25.7","...","99","2.7","35","...","...","0.5","...","...","...","...","...","..."
"03","1001.1","...","24.7","...","99","2.3","75","...","...","5.0","...","...","...","...","...","..."
"04","1001.3","...","24.5","...","99","1.4","141","...","...","0.0","...","...","...","...","...","..."
"05","1001.6","...","25.9","...","99","2.0","146","...","...","0.0","...","...","...","...","...","..."
"06","1001.6","...","26.3","...","99","1.6","134","...","...","0.5","...","...","...","...","...","..."
"07","1002.6","...","25.8","...","99","1.7","337","...","...","0.0","...","...","...","...","...","..."
"08","1002.6","...","26.4","...","99","2.5","21","...","...","0.0","...","...","...","...","...","..."
"09","1003.1","...","27.0","...","99","0.6","105","...","...","0.0","...","...","...","...","...","..."
"10","1003.3","...","27.4","...","99","1.2","190","...","...","0.0","...","...","...","...","...","..."
"11","1003.6","...","28.6","...","96","1.6","172","...","...","0.0","...","...","...","...","...","..."
"12","1002.8","...","30.0","...","77","1.4","249","...","...","0.0","...","...","...","...","...","..."
"13","1002.1","...","30.4","...","82","1.8","156","...","...","0.0","...","...","...","...","...","..."
"14","1001.5","...","31.0","...","79","3.2","219","...","...","0.0","...","...","...","...","...","..."
"15","1001.3","...","29.3","...","99","3.6","198","...","...","0.0","...","...","...","...","...","..."
"16","1001.0","...","29.5","...","98","2.7","192","...","...","0.0","...","...","...","...","...","..."
"17","1001.3","...","28.5","...","99","4.1","185","...","...","0.0","...","...","...","...","...","..."
"18","1001.6","...","28.3","...","99","3.1","191","...","...","0.0","...","...","...","...","...","..."
"19","1002.0","...","28.1","...","99","3.2","204","...","...","0.0","...","...","...","...","...","..."
"20","1002.4","...","28.1","...","99","2.4","209","...","...","0.0","...","...","...","...","...","..."
"21","1002.7","...","28.0","...","99","2.5","227","...","...","0.0","...","...","...","...","...","..."
"22","1002.8","...","27.9","...","99","2.5","210","...","...","0.0","...","...","...","...","...","..."
"23","1003.6","...","27.8","...","99","1.9","205","...","...","0.0","...","...","...","...","...","..."
"24","1003.3","...","27.8","...","99","2.4","185","...","...","0.0","...","...","...","...","...","..."
