"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.8","...","1005.5","2019-06-01 09:38","1002.0","2019-06-01 17:54","25.8","28.1","2019-06-01 13:32","24.4","2019-06-01 06:00","...","94","80","2019-06-01 13:32","1.7","146","9.2","212","2019-06-01 22:29","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1002.1","...","1004.1","2019-06-02 22:40","1000.0","2019-06-02 15:46","26.8","29.0","2019-06-02 13:21","25.7","2019-06-02 05:25","...","95","81","2019-06-02 15:05","3.5","242","25.3","210","2019-06-02 02:18","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1003.1","...","1004.8","2019-06-03 22:42","1001.9","2019-06-03 02:14","26.2","28.6","2019-06-03 09:02","25.1","2019-06-03 12:23","...","95","83","2019-06-03 09:03","2.8","218","14.6","236","2019-06-03 11:38","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1004.7","...","1006.4","2019-06-04 09:28","1003.1","2019-06-04 16:02","27.5","31.1","2019-06-04 14:13","25.4","2019-06-04 05:28","...","90","73","2019-06-04 14:15","1.6","195","8.9","230","2019-06-04 15:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1006.1","...","1007.7","2019-06-05 11:18","1004.7","2019-06-05 16:15","28.1","31.4","2019-06-05 13:19","26.5","2019-06-05 04:17","...","90","72","2019-06-05 12:23","1.6","166","9.2","174","2019-06-05 15:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.7","...","1008.5","2019-06-06 08:50","1005.0","2019-06-06 16:46","28.5","32.5","2019-06-06 13:51","26.4","2019-06-06 04:45","...","86","56","2019-06-06 14:36","2.2","222","9.7","243","2019-06-06 13:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.1","...","1007.5","2019-06-07 09:15","1004.6","2019-06-07 16:56","27.8","29.6","2019-06-07 10:22","26.2","2019-06-07 05:03","...","94","82","2019-06-07 14:13","2.3","227","8.9","242","2019-06-07 01:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.3","...","1005.8","2019-06-09 00:00","1001.1","2019-06-08 16:53","28.4","31.4","2019-06-08 10:15","26.8","2019-06-08 03:26","...","90","73","2019-06-08 10:15","3.2","232","13.5","242","2019-06-08 17:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1000.9","...","1000.9","2019-06-09 22:07","999.2","2019-06-09 17:26","28.1","27.9","2019-06-09 17:27","27.3","2019-06-09 20:30","...","94","97","2019-06-09 18:12","4.0","236","10.8","228","2019-06-09 17:47","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","999.2","...","1000.2","2019-06-10 22:11","998.2","2019-06-10 16:10","27.8","30.7","2019-06-10 14:46","27.2","2019-06-10 23:57","...","92","79","2019-06-10 14:47","1.7","229","7.6","209","2019-06-10 21:45","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1001.0","...","1004.1","2019-06-11 22:19","1003.2","2019-06-11 23:54","25.4","25.3","2019-06-11 23:55","24.5","2019-06-11 21:52","...","94","83","2019-06-11 22:02","2.5","70","8.1","76","2019-06-11 22:10","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1003.8","...","1005.9","2019-06-12 10:02","1002.8","2019-06-12 17:47","23.5","25.5","2019-06-12 12:28","22.0","2019-06-12 23:58","...","89","75","2019-06-12 12:39","3.4","60","8.7","87","2019-06-12 11:06","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1000.2","...","1003.4","2019-06-14 00:00","997.5","2019-06-13 16:57","22.5","23.2","2019-06-13 16:40","21.6","2019-06-13 05:17","...","98","93","2019-06-13 08:55","0.9","71","6.7","63","2019-06-13 00:50","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","998.8","...","1002.2","2019-06-14 22:04","996.7","2019-06-14 01:45","25.0","27.8","2019-06-14 13:30","22.7","2019-06-15 00:00","...","88","74","2019-06-14 13:30","1.6","90","8.7","128","2019-06-14 16:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1002.7","...","1004.8","2019-06-15 22:54","1001.0","2019-06-15 01:47","25.8","28.8","2019-06-15 13:33","24.1","2019-06-15 04:51","...","75","48","2019-06-15 15:59","2.5","77","23.6","354","2019-06-15 11:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1004.5","...","1006.7","2019-06-16 22:27","1002.8","2019-06-16 01:30","25.7","28.2","2019-06-16 12:00","23.3","2019-06-16 04:28","...","70","44","2019-06-16 10:52","1.2","96","7.6","57","2019-06-16 01:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1006.1","...","1007.7","2019-06-17 22:33","1005.0","2019-06-17 02:52","26.7","28.6","2019-06-17 11:08","24.6","2019-06-17 05:25","...","85","72","2019-06-17 11:19","0.3","75","4.8","121","2019-06-17 14:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1005.6","...","1007.1","2019-06-18 00:05","1004.1","2019-06-18 17:26","28.4","31.8","2019-06-18 12:54","25.7","2019-06-18 02:39","...","92","75","2019-06-18 11:25","1.4","212","12.4","252","2019-06-18 18:42","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1003.9","...","1005.5","2019-06-19 08:10","1001.9","2019-06-19 17:18","28.7","31.5","2019-06-19 11:08","27.4","2019-06-19 05:52","...","94","77","2019-06-19 11:27","2.9","235","12.6","232","2019-06-19 16:27","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.9","...","1003.4","2019-06-20 00:04","999.9","2019-06-20 17:21","29.2","32.9","2019-06-20 13:36","27.2","2019-06-20 05:26","...","88","70","2019-06-20 13:35","3.7","252","13.6","218","2019-06-20 17:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1000.7","...","1002.4","2019-06-21 08:26","998.9","2019-06-21 17:16","29.4","32.7","2019-06-21 13:52","27.8","2019-06-21 05:18","...","89","66","2019-06-21 13:54","4.4","245","25.5","221","2019-06-21 09:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","999.2","...","1001.0","2019-06-22 00:11","997.6","2019-06-22 16:07","29.1","32.0","2019-06-22 12:32","27.8","2019-06-22 05:31","...","91","74","2019-06-22 13:22","3.9","246","12.1","241","2019-06-22 15:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1001.1","...","1004.3","2019-06-23 21:59","997.7","2019-06-23 01:21","26.3","28.1","2019-06-23 00:08","24.2","2019-06-23 20:13","...","95","86","2019-06-23 18:41","2.7","85","13.3","75","2019-06-23 14:30","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1004.7","...","1006.4","2019-06-24 21:56","1002.9","2019-06-24 04:09","23.6","24.4","2019-06-24 00:20","22.9","2019-06-24 08:52","...","96","90","2019-06-24 02:54","3.4","87","11.7","90","2019-06-24 10:33","22.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1003.8","...","1005.7","2019-06-26 00:00","1002.3","2019-06-25 16:58","24.4","25.4","2019-06-25 23:58","23.5","2019-06-25 11:23","...","97","93","2019-06-25 04:00","1.3","87","7.9","98","2019-06-25 01:02","20.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","999.9","...","1002.4","2019-06-27 00:00","997.2","2019-06-26 17:08","27.1","30.7","2019-06-26 14:08","25.1","2019-06-26 05:39","...","93","73","2019-06-26 14:09","0.6","183","8.2","170","2019-06-26 21:42","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","997.7","...","...","...","...","...","28.8","...","...","...","...","...","90","...","...","1.3","189","...","...","...","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","998.5","...","999.5","2019-06-28 08:05","996.8","2019-06-28 16:45","29.5","32.1","2019-06-28 14:39","28.1","2019-06-28 05:17","...","92","75","2019-06-28 15:06","2.3","237","15.7","173","2019-06-28 16:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","998.1","...","999.5","2019-06-29 22:04","996.2","2019-06-29 16:24","29.5","32.5","2019-06-29 13:24","27.9","2019-06-29 03:51","...","90","72","2019-06-29 16:33","2.4","226","11.2","245","2019-06-29 13:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","998.8","...","1000.6","2019-06-30 23:47","997.0","2019-06-30 15:24","29.5","33.0","2019-06-30 13:24","27.8","2019-06-30 05:26","...","89","71","2019-06-30 13:52","1.6","189","12.0","281","2019-06-30 04:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
