"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1005.6","1008.9","27.1","24.4","85","0.7","60","1.8","20","0.0","0.0","...","0.00","...","0","..."
"02","1005.2","1008.5","27.4","24.4","84","0.0","0","1.8","90","0.0","0.0","...","0.00","15.0","0","7.0"
"03","1005.0","1008.3","27.0","24.3","85","1.3","90","2.0","90","0.0","0.0","...","0.00","...","0","..."
"04","1004.9","1008.2","26.3","24.1","88","0.7","50","2.4","80","0.0","0.0","...","0.00","...","0","..."
"05","1004.7","1008.0","26.3","24.0","87","1.5","40","2.2","40","0.0","0.0","...","0.00","10.0","0","4.0"
"06","1004.7","1008.0","26.5","24.5","89","0.6","90","2.2","50","0.0","0.0","0.3","0.10","...","0","..."
"07","1004.9","1008.2","29.6","25.3","78","0.7","20","1.9","100","0.0","0.0","1.0","0.55","...","0","..."
"08","1004.9","1008.1","30.4","25.4","75","1.3","40","2.6","50","0.0","0.0","1.0","1.15","12.0","2","7.0"
"09","1004.7","1007.9","32.3","25.3","67","1.4","20","3.5","10","0.0","0.0","0.8","1.47","8.0","3","8.0"
"10","1004.6","1007.8","31.8","24.3","65","1.0","300","4.5","270","0.0","0.0","0.3","1.21","...","4","7.0"
"11","1004.3","1007.5","33.8","25.0","60","2.5","300","5.1","280","0.0","0.0","0.9","2.53","12.0","6","8.0"
"12","1004.0","1007.2","34.2","25.0","59","3.5","280","6.6","280","0.0","0.0","0.3","1.34","...","4","8.0"
"13","1003.8","1007.0","33.9","25.0","60","3.3","280","6.3","280","0.0","0.0","0.4","1.63","...","5","8.0"
"14","1003.6","1006.8","33.4","25.1","62","4.8","270","9.3","270","0.0","0.0","0.4","1.78","9.0","5","9.0"
"15","1002.8","1006.0","33.4","25.1","62","5.7","270","9.8","270","0.0","0.0","0.6","1.84","...","4","8.0"
"16","1003.3","1006.6","28.9","22.5","68","4.7","10","9.5","280","T","0.1","0.2","1.03","...","2","10.0"
"17","1004.1","1007.4","25.1","23.3","90","3.3","50","9.4","30","19.0","1.0","0.0","0.00","2.0","0","10.0"
"18","1004.3","1007.6","25.8","24.0","90","2.5","50","4.6","50","0.4","1.0","0.0","0.14","...","0","..."
"19","1005.2","1008.5","26.4","24.6","90","0.9","70","2.9","60","T","0.7","0.0","0.00","...","0","..."
"20","1005.9","1009.2","26.7","25.2","92","0.2","0","2.0","80","T","0.5","...","0.00","8.0","0","10.0"
"21","1006.2","1009.5","26.6","25.1","91","0.0","0","2.1","350","0.3","1.0","...","0.00","10.0","0","10.0"
"22","1006.2","1009.5","26.5","25.3","93","0.8","70","1.9","90","T","0.2","...","0.00","...","0","..."
"23","1005.9","1009.2","26.3","25.1","93","2.0","70","2.7","70","0.0","0.0","...","0.00","15.0","0","4.0"
"24","1005.4","1008.7","26.2","25.0","93","1.6","90","2.2","70","0.0","0.0","...","0.00","...","0","..."
