"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","767.6","3175.2","768.7","2019-04-01 10:14","766.6","2019-04-01 15:35","8.1","9.1","2019-04-01 09:47","6.1","2019-04-01 03:02","7.2","95","82","2019-04-01 05:37","1.3","240","5.3","250","2019-04-01 12:39","6.8","9.4","1.4","2019-04-01 19:23","2.3","2019-04-01 21:01","0.0","0.0","2.68","5.4","-1.2","...","","5.0"
"02","767.1","3169.9","768.5","2019-04-02 08:46","765.7","2019-04-02 15:38","8.4","11.5","2019-04-02 11:15","5.9","2019-04-02 05:28","8.2","99","94","2019-04-02 11:14","0.8","310","4.4","260","2019-04-02 13:37","0.0","0.0","0.0","2019-04-02 00:00","0.0","2019-04-02 00:00","1.5","12.2","7.86","11.0","0.5","...","","4.5"
"03","767.0","3170.1","768.6","2019-04-03 10:06","765.8","2019-04-03 03:27","9.4","13.2","2019-04-03 09:51","6.2","2019-04-03 02:39","7.7","90","75","2019-04-03 23:35","0.9","350","4.2","80","2019-04-03 17:17","0.0","0.0","0.0","2019-04-03 00:00","0.0","2019-04-03 00:00","2.5","20.2","12.27","1.7","1.3","...","","6.0"
"04","766.8","3172.8","767.9","2019-04-04 09:33","765.4","2019-04-04 16:45","11.2","16.4","2019-04-04 11:58","8.0","2019-04-04 01:13","8.7","84","70","2019-04-04 14:23","1.3","270","6.1","260","2019-04-04 10:37","0.0","0.0","0.0","2019-04-04 00:00","0.0","2019-04-04 00:00","6.7","54.1","20.78","3.2","2.4","...","","6.2"
"05","765.4","3158.3","766.9","2019-04-05 00:05","764.1","2019-04-05 15:33","10.8","15.1","2019-04-05 13:03","7.2","2019-04-05 23:20","8.7","87","70","2019-04-05 14:52","1.1","160","5.4","350","2019-04-05 13:28","0.0","0.0","0.0","2019-04-05 00:00","0.0","2019-04-05 00:00","1.3","10.5","11.49","5.0","1.7","...","","6.5"
"06","765.5","3157.7","766.8","2019-04-06 09:45","764.4","2019-04-06 14:53","10.1","15.9","2019-04-06 12:10","6.5","2019-04-06 05:11","3.5","65","37","2019-04-06 10:49","1.4","250","5.9","270","2019-04-06 11:44","0.0","0.0","0.0","2019-04-06 00:00","0.0","2019-04-06 00:00","9.4","75.6","22.03","10.3","3.4","...","","4.2"
"07","765.9","3163.5","767.2","2019-04-07 09:55","764.7","2019-04-07 04:38","11.5","17.8","2019-04-07 12:34","6.3","2019-04-07 01:53","3.7","59","41","2019-04-07 11:21","1.4","310","6.7","340","2019-04-07 10:42","0.0","0.0","0.0","2019-04-07 00:00","0.0","2019-04-07 00:00","11.4","91.5","27.01","14.3","2.8","...","","2.0"
"08","766.2","3171.7","767.6","2019-04-08 10:12","764.5","2019-04-08 04:13","12.8","17.7","2019-04-08 12:25","8.9","2019-04-08 00:04","5.7","63","44","2019-04-08 23:51","1.3","160","6.8","280","2019-04-08 11:46","0.0","0.0","0.0","2019-04-08 00:00","0.0","2019-04-08 00:00","9.4","75.3","23.28","16.2","3.3","...","","3.7"
"09","766.3","3174.6","767.5","2019-04-09 10:07","765.2","2019-04-09 17:52","14.0","19.9","2019-04-09 11:15","9.3","2019-04-09 00:17","4.9","55","39","2019-04-09 01:30","1.4","230","6.8","120","2019-04-09 18:22","0.0","0.0","0.0","2019-04-09 00:00","0.0","2019-04-09 00:00","11.3","90.4","26.15","22.5","5.1","...","","1.5"
"10","766.2","3174.2","767.7","2019-04-10 08:58","764.7","2019-04-10 16:58","13.8","19.3","2019-04-10 13:26","9.6","2019-04-10 04:32","4.7","56","35","2019-04-10 07:45","1.5","220","6.8","350","2019-04-10 13:35","0.0","0.0","0.0","2019-04-10 00:00","0.0","2019-04-10 00:00","10.4","83.0","26.74","18.7","6.2","...","","2.8"
"11","764.9","3158.9","766.5","2019-04-11 21:42","763.9","2019-04-11 04:28","12.8","18.1","2019-04-11 13:49","9.8","2019-04-11 00:40","7.8","72","56","2019-04-11 12:58","1.6","230","8.3","240","2019-04-11 11:52","0.0","0.0","0.0","2019-04-11 00:00","0.0","2019-04-11 00:00","9.2","73.3","24.60","17.3","3.4","...","","4.0"
"12","766.0","3167.9","767.5","2019-04-12 22:00","764.5","2019-04-12 02:43","12.2","16.5","2019-04-12 10:25","9.6","2019-04-12 21:08","9.5","84","66","2019-04-12 09:33","1.0","290","5.9","270","2019-04-12 08:27","2.5","1.0","1.3","2019-04-12 23:34","2.5","2019-04-12 23:01","2.9","23.1","13.77","9.9","-1.9","...","","7.7"
"13","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
