"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","996.3","...","25.3","...","87","0.9","101","...","...","0.0","...","...","...","...","...","..."
"02","996.0","...","25.4","...","83","0.8","115","...","...","0.0","...","...","...","...","...","..."
"03","996.3","...","24.9","...","86","0.8","131","...","...","0.0","...","...","...","...","...","..."
"04","996.6","...","26.0","...","86","1.1","179","...","...","0.0","...","...","...","...","...","..."
"05","997.1","...","26.0","...","83","0.0","0","...","...","0.0","...","...","...","...","...","..."
"06","997.4","...","25.5","...","83","0.2","0","...","...","0.0","...","...","...","...","...","..."
"07","997.8","...","28.5","...","72","0.6","204","...","...","0.0","...","...","...","...","...","..."
"08","997.4","...","30.2","...","62","2.2","200","...","...","0.0","...","...","...","...","...","..."
"09","997.5","...","31.0","...","61","2.2","221","...","...","0.0","...","...","...","...","...","..."
"10","997.2","...","32.0","...","60","1.9","238","...","...","0.0","...","...","...","...","...","..."
"11","997.0","...","32.2","...","64","2.5","230","...","...","0.0","...","...","...","...","...","..."
"12","996.6","...","32.2","...","60","2.3","225","...","...","0.0","...","...","...","...","...","..."
"13","996.2","...","33.3","...","59","2.1","246","...","...","0.0","...","...","...","...","...","..."
"14","995.7","...","33.1","...","57","3.0","256","...","...","0.0","...","...","...","...","...","..."
"15","995.5","...","32.2","...","60","2.5","251","...","...","0.0","...","...","...","...","...","..."
"16","995.3","...","31.9","...","61","2.9","224","...","...","0.0","...","...","...","...","...","..."
"17","995.3","...","31.3","...","66","2.0","237","...","...","0.0","...","...","...","...","...","..."
"18","995.7","...","30.9","...","66","2.0","246","...","...","0.0","...","...","...","...","...","..."
"19","995.8","...","29.0","...","74","1.7","222","...","...","0.0","...","...","...","...","...","..."
"20","996.0","...","28.0","...","81","1.3","197","...","...","0.0","...","...","...","...","...","..."
"21","995.6","...","28.0","...","81","1.5","193","...","...","0.0","...","...","...","...","...","..."
"22","996.2","...","27.5","...","83","1.3","198","...","...","0.0","...","...","...","...","...","..."
"23","996.6","...","27.9","...","78","1.6","170","...","...","0.0","...","...","...","...","...","..."
"24","996.2","...","27.9","...","71","1.1","180","...","...","0.0","...","...","...","...","...","..."
