"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","997.5","...","999.7","2016-06-01 07:20","994.4","2016-06-01 16:21","29.6","33.7","2016-06-01 15:35","26.0","2016-06-01 01:10","...","70","51","2016-06-01 15:35","2.7","212","9.5","273","2016-06-01 11:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","996.2","...","998.5","2016-06-02 22:29","994.4","2016-06-02 16:08","29.0","32.1","2016-06-02 12:39","26.9","2016-06-02 05:02","...","77","66","2016-06-02 12:41","2.6","200","10.4","198","2016-06-02 11:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","996.9","...","998.5","2016-06-03 09:16","995.4","2016-06-03 16:32","29.6","33.6","2016-06-03 13:27","26.5","2016-06-03 03:39","...","75","60","2016-06-03 09:50","2.7","246","9.5","262","2016-06-03 14:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","998.2","...","1000.2","2016-06-04 22:17","996.4","2016-06-04 15:57","29.6","33.3","2016-06-04 14:20","25.8","2016-06-04 05:18","...","75","54","2016-06-04 15:59","2.2","260","9.2","260","2016-06-04 12:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","998.7","...","1000.3","2016-06-05 10:49","997.2","2016-06-05 16:40","27.6","31.7","2016-06-05 09:02","23.9","2016-06-05 21:24","...","80","63","2016-06-05 16:07","1.3","22","8.5","315","2016-06-05 09:58","19.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","999.0","...","1000.4","2016-06-06 13:15","997.8","2016-06-06 18:05","26.5","30.6","2016-06-06 09:21","23.8","2016-06-06 05:22","...","83","64","2016-06-06 09:22","1.2","41","8.0","335","2016-06-06 12:27","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","998.2","...","999.7","2016-06-07 07:44","995.9","2016-06-07 15:46","27.7","32.6","2016-06-07 13:09","24.6","2016-06-07 06:20","...","79","56","2016-06-07 13:08","1.5","94","8.5","283","2016-06-07 15:46","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","996.6","...","998.0","2016-06-08 00:01","994.3","2016-06-08 16:19","26.9","32.7","2016-06-08 12:44","22.3","2016-06-08 18:33","...","79","58","2016-06-08 12:45","1.3","43","14.1","163","2016-06-08 18:10","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","996.9","...","998.2","2016-06-09 21:36","994.9","2016-06-09 14:57","26.4","32.7","2016-06-09 13:54","23.1","2016-06-09 17:06","...","85","58","2016-06-09 12:16","1.0","95","7.1","280","2016-06-09 15:21","46.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","997.4","...","998.6","2016-06-10 08:40","995.9","2016-06-10 16:27","26.3","29.5","2016-06-10 11:11","24.1","2016-06-10 00:10","...","87","68","2016-06-10 10:24","1.2","96","7.1","242","2016-06-10 14:29","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","997.9","...","999.3","2016-06-11 11:16","996.1","2016-06-11 03:27","25.0","28.5","2016-06-11 18:08","23.5","2016-06-11 05:52","...","88","65","2016-06-11 18:09","2.4","193","10.9","176","2016-06-11 12:49","58.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","997.1","...","998.2","2016-06-12 13:28","996.2","2016-06-12 20:51","26.0","31.6","2016-06-12 09:51","23.5","2016-06-12 14:12","...","85","61","2016-06-12 09:54","2.8","46","15.9","176","2016-06-12 10:18","49.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","996.3","...","999.0","2016-06-13 09:59","994.4","2016-06-13 19:03","26.1","31.4","2016-06-13 13:36","23.8","2016-06-13 19:56","...","84","62","2016-06-13 13:10","2.2","185","10.3","176","2016-06-13 06:42","54.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","995.9","...","...","","...","","27.2","...","","...","","...","80","...","","2.3","196","...","...","","17.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","996.8","...","...","","...","","28.7","...","","...","","...","77","...","","3.0","203","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","997.7","...","999.3","2016-06-16 22:10","995.6","2016-06-16 01:49","28.6","32.7","2016-06-16 13:02","25.2","2016-06-16 05:00","...","78","58","2016-06-16 12:54","2.6","219","12.3","203","2016-06-16 10:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","999.3","...","1001.8","2016-06-17 21:59","997.4","2016-06-17 03:22","28.7","33.4","2016-06-17 11:39","24.4","2016-06-17 05:02","...","78","51","2016-06-17 11:42","2.3","32","10.3","259","2016-06-17 15:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1001.6","...","1003.2","2016-06-18 21:49","1000.1","2016-06-18 04:45","29.1","33.4","2016-06-18 13:38","25.0","2016-06-18 04:52","...","76","55","2016-06-18 11:23","1.6","253","8.6","259","2016-06-18 14:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1000.8","...","1001.9","2016-06-20 00:00","998.4","2016-06-19 14:52","27.8","33.9","2016-06-19 12:05","24.5","2016-06-19 22:54","...","80","51","2016-06-19 12:02","1.5","2","10.9","97","2016-06-19 15:50","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","999.4","...","1000.6","2016-06-20 00:03","996.9","2016-06-20 16:03","27.3","35.4","2016-06-20 14:00","22.6","2016-06-20 16:52","...","77","48","2016-06-20 14:00","1.4","130","12.9","157","2016-06-20 16:51","56.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","999.6","...","1000.7","2016-06-21 07:35","998.4","2016-06-21 14:58","27.7","34.6","2016-06-21 13:06","23.7","2016-06-21 02:42","...","79","51","2016-06-21 12:25","1.5","94","9.2","281","2016-06-21 14:50","23.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","999.3","...","1000.7","2016-06-22 08:02","997.6","2016-06-22 17:29","29.1","33.6","2016-06-22 12:36","24.3","2016-06-22 05:00","...","78","55","2016-06-22 11:31","1.6","87","7.6","267","2016-06-22 13:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","998.6","...","999.9","2016-06-23 07:54","997.4","2016-06-23 17:50","28.4","33.7","2016-06-23 12:38","25.1","2016-06-24 00:00","...","80","58","2016-06-23 11:21","1.5","105","7.4","255","2016-06-23 13:13","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"24","998.3","...","999.7","2016-06-24 21:40","996.0","2016-06-24 15:55","27.9","34.4","2016-06-24 13:40","24.6","2016-06-24 02:46","...","79","51","2016-06-24 12:50","1.9","102","9.8","246","2016-06-24 14:30","27.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","999.0","...","1001.0","2016-06-25 23:24","997.8","2016-06-25 15:36","29.1","34.4","2016-06-25 12:25","24.2","2016-06-25 05:47","...","76","50","2016-06-25 12:04","1.8","98","9.2","259","2016-06-25 13:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","999.6","...","1000.9","2016-06-26 20:11","997.7","2016-06-26 14:56","28.5","34.4","2016-06-26 13:26","24.1","2016-06-26 16:31","...","81","56","2016-06-26 12:21","1.4","82","11.9","169","2016-06-26 16:05","14.5","...","...","","...","","...","...","...","...","...","...","","..."
"27","998.6","...","1000.7","2016-06-27 22:52","996.3","2016-06-27 15:13","28.7","35.9","2016-06-27 13:05","24.9","2016-06-27 05:20","...","81","49","2016-06-27 13:18","1.0","104","9.2","290","2016-06-27 15:17","16.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1000.0","...","1002.4","2016-06-28 21:56","998.2","2016-06-28 03:40","28.8","35.0","2016-06-28 12:39","24.9","2016-06-28 05:24","...","81","52","2016-06-28 11:33","0.8","95","5.7","335","2016-06-28 13:47","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"29","1001.9","...","1005.0","2016-06-29 22:34","999.5","2016-06-29 16:41","29.2","35.3","2016-06-29 12:57","24.7","2016-06-29 19:07","...","76","48","2016-06-29 12:33","1.3","23","8.4","235","2016-06-29 17:15","22.5","...","...","","...","","...","...","...","...","...","...","","..."
"30","1001.8","...","1003.7","2016-07-01 00:00","999.7","2016-06-30 15:58","27.9","34.5","2016-06-30 12:43","24.0","2016-06-30 17:16","...","82","48","2016-06-30 12:11","1.4","95","6.9","297","2016-06-30 12:59","56.0","...","...","","...","","...","...","...","...","...","...","","..."
