"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1005.6","...","29.2","...","80","2.2","195","...","...","0.0","...","...","...","...","...","..."
"02","1005.3","...","29.1","...","80","2.8","195","...","...","0.0","...","...","...","...","...","..."
"03","1005.5","...","29.0","...","81","2.8","193","...","...","0.0","...","...","...","...","...","..."
"04","1005.9","...","28.2","...","88","2.6","169","...","...","0.0","...","...","...","...","...","..."
"05","1006.3","...","27.8","...","89","2.5","160","...","...","0.0","...","...","...","...","...","..."
"06","1006.7","...","27.9","...","88","2.4","146","...","...","0.0","...","...","...","...","...","..."
"07","1006.7","...","28.8","...","83","3.4","157","...","...","0.0","...","...","...","...","...","..."
"08","1006.7","...","29.9","...","78","2.6","165","...","...","0.0","...","...","...","...","...","..."
"09","1007.0","...","29.0","...","77","2.3","213","...","...","0.0","...","...","...","...","...","..."
"10","1006.8","...","30.4","...","76","2.4","229","...","...","0.0","...","...","...","...","...","..."
"11","1006.6","...","30.8","...","71","2.7","246","...","...","0.0","...","...","...","...","...","..."
"12","1006.4","...","30.6","...","74","3.0","249","...","...","0.0","...","...","...","...","...","..."
"13","1006.2","...","31.0","...","72","3.5","252","...","...","0.0","...","...","...","...","...","..."
"14","1005.6","...","31.5","...","71","3.1","255","...","...","0.0","...","...","...","...","...","..."
"15","1005.3","...","31.2","...","71","3.2","250","...","...","0.0","...","...","...","...","...","..."
"16","1004.8","...","30.6","...","75","3.3","248","...","...","0.0","...","...","...","...","...","..."
"17","1004.9","...","30.3","...","76","3.1","250","...","...","0.0","...","...","...","...","...","..."
"18","1005.0","...","30.5","...","76","3.5","245","...","...","0.0","...","...","...","...","...","..."
"19","1005.2","...","29.9","...","80","2.7","232","...","...","0.0","...","...","...","...","...","..."
"20","1005.3","...","30.0","...","79","2.3","217","...","...","0.0","...","...","...","...","...","..."
"21","1005.1","...","29.9","...","77","2.9","207","...","...","0.0","...","...","...","...","...","..."
"22","1005.6","...","29.9","...","79","2.6","207","...","...","0.0","...","...","...","...","...","..."
"23","1005.6","...","29.5","...","83","2.6","174","...","...","0.0","...","...","...","...","...","..."
"24","1005.4","...","29.3","...","84","2.9","187","...","...","0.0","...","...","...","...","...","..."
