"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.6","...","1005.1","2017-06-01 10:24","1001.5","2017-06-01 16:49","28.0","29.9","2017-06-01 10:41","26.3","2017-06-01 05:17","...","91","79","2017-06-01 11:52","3.4","205","11.5","221","2017-06-01 20:07","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","1003.1","...","1004.4","2017-06-02 10:24","1002.1","2017-06-02 03:34","28.4","29.6","2017-06-02 11:56","27.5","2017-06-02 20:32","...","93","88","2017-06-02 10:40","4.3","208","12.6","252","2017-06-02 11:02","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1003.2","...","1005.2","2017-06-03 23:21","1001.7","2017-06-03 01:34","28.0","30.0","2017-06-03 10:00","26.0","2017-06-03 23:40","...","96","87","2017-06-03 10:01","4.2","236","14.6","260","2017-06-03 22:18","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1005.3","...","1007.5","2017-06-04 23:03","1003.8","2017-06-04 03:27","26.7","31.6","2017-06-04 14:20","24.4","2017-06-04 01:49","...","94","68","2017-06-04 14:09","2.4","153","11.8","233","2017-06-04 15:27","35.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1007.6","...","1009.5","2017-06-05 23:52","1006.1","2017-06-05 02:17","27.9","30.4","2017-06-05 16:10","25.5","2017-06-05 07:58","...","92","82","2017-06-05 15:56","1.1","71","5.5","260","2017-06-05 15:19","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1009.4","...","1010.4","2017-06-06 08:46","1007.8","2017-06-06 16:13","29.0","32.0","2017-06-06 11:57","26.4","2017-06-06 06:10","...","89","73","2017-06-06 12:52","1.9","259","8.1","245","2017-06-06 12:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1009.7","...","1011.0","2017-06-07 23:20","1007.8","2017-06-07 15:39","29.5","32.4","2017-06-07 11:38","27.3","2017-06-07 02:25","...","87","68","2017-06-07 12:57","1.7","165","7.2","256","2017-06-07 14:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1009.7","...","1011.1","2017-06-08 09:54","1007.8","2017-06-08 17:03","29.0","31.3","2017-06-08 13:53","27.1","2017-06-08 05:10","...","84","67","2017-06-08 16:43","2.0","48","7.8","329","2017-06-08 15:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1009.2","...","1010.4","2017-06-10 00:00","1007.6","2017-06-09 15:11","29.7","32.0","2017-06-09 10:16","26.7","2017-06-09 05:43","...","82","66","2017-06-09 11:04","1.1","51","6.0","16","2017-06-09 13:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1008.0","...","1010.3","2017-06-11 00:00","1006.7","2017-06-10 16:46","30.1","32.7","2017-06-10 14:35","27.3","2017-06-10 05:20","...","81","68","2017-06-10 10:02","2.9","224","12.0","251","2017-06-10 14:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1006.9","...","1008.2","2017-06-11 22:01","1004.9","2017-06-11 15:59","30.7","34.3","2017-06-11 12:47","27.2","2017-06-11 04:30","...","79","57","2017-06-11 12:41","3.1","208","11.6","220","2017-06-11 13:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1007.7","...","1011.0","2017-06-12 23:04","1005.6","2017-06-12 16:09","30.6","33.9","2017-06-12 10:17","25.5","2017-06-12 21:57","...","76","56","2017-06-12 10:11","3.9","172","11.8","221","2017-06-12 15:59","11.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1008.6","...","1010.2","2017-06-13 00:01","1007.1","2017-06-13 16:39","29.0","33.6","2017-06-13 11:16","23.9","2017-06-13 18:15","...","82","52","2017-06-13 14:02","4.3","166","13.9","187","2017-06-13 14:01","66.5","...","...","","...","","...","...","...","...","...","...","","..."
