"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","997.8","...","999.7","2017-06-01 00:01","995.0","2017-06-01 17:10","27.6","30.1","2017-06-01 12:22","26.2","2017-06-01 01:54","...","91","79","2017-06-01 12:23","5.6","209","17.9","205","2017-06-01 13:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","997.9","...","1000.9","2017-06-02 20:59","995.7","2017-06-02 03:31","26.9","30.2","2017-06-02 12:23","24.3","2017-06-02 19:01","...","94","83","2017-06-02 12:24","4.6","227","14.2","233","2017-06-02 01:03","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1000.4","...","1002.3","2017-06-03 23:59","999.1","2017-06-03 14:24","24.5","25.1","2017-06-03 20:00","24.1","2017-06-03 05:31","...","95","90","2017-06-03 08:51","3.1","57","8.2","53","2017-06-03 00:25","20.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1002.6","...","1005.3","2017-06-04 22:34","1000.3","2017-06-04 04:18","24.9","26.3","2017-06-04 13:06","23.9","2017-06-04 22:35","...","92","86","2017-06-04 23:53","3.1","79","11.3","76","2017-06-04 21:40","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1005.1","...","1007.1","2017-06-05 22:16","1003.5","2017-06-05 17:39","24.1","26.1","2017-06-05 15:30","22.9","2017-06-05 05:25","...","91","80","2017-06-05 13:07","2.8","63","9.7","91","2017-06-05 00:07","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.4","...","1007.8","2017-06-06 08:53","1004.5","2017-06-06 16:37","26.7","30.8","2017-06-06 13:25","24.3","2017-06-06 02:41","...","94","79","2017-06-06 14:01","1.5","64","7.5","161","2017-06-06 16:37","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.3","...","1008.7","2017-06-07 22:16","1004.2","2017-06-07 16:24","28.2","31.8","2017-06-07 12:18","25.9","2017-06-07 05:46","...","88","70","2017-06-07 13:51","3.2","63","9.7","173","2017-06-07 16:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.4","...","1009.0","2017-06-08 10:31","1005.4","2017-06-08 16:43","27.3","30.3","2017-06-08 13:51","25.6","2017-06-08 05:31","...","86","72","2017-06-08 13:42","2.6","73","8.4","73","2017-06-08 23:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1006.4","...","1008.2","2017-06-10 00:00","1004.0","2017-06-09 17:04","28.5","33.1","2017-06-09 13:30","25.8","2017-06-09 00:42","...","82","61","2017-06-09 12:47","1.7","70","7.2","150","2017-06-09 15:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1004.9","...","1006.9","2017-06-10 00:17","1003.0","2017-06-10 17:16","29.4","32.6","2017-06-10 13:01","26.8","2017-06-10 05:31","...","84","65","2017-06-10 12:55","3.1","238","10.3","210","2017-06-10 12:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.7","...","1005.0","2017-06-11 22:52","1001.8","2017-06-11 17:08","29.9","33.4","2017-06-11 11:29","27.2","2017-06-11 05:02","...","82","61","2017-06-11 11:17","2.5","168","9.7","162","2017-06-11 14:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1004.5","...","1006.3","2017-06-12 23:32","1002.2","2017-06-12 16:36","29.7","32.6","2017-06-12 10:02","27.7","2017-06-12 04:40","...","84","69","2017-06-12 10:32","2.0","162","7.9","234","2017-06-12 11:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1004.0","...","1005.8","2017-06-14 00:00","1002.4","2017-06-13 16:45","28.2","31.1","2017-06-13 09:37","25.1","2017-06-13 14:19","...","90","80","2017-06-13 09:37","3.6","157","17.9","268","2017-06-13 14:12","18.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1004.7","...","1006.7","2017-06-14 22:06","1003.1","2017-06-14 00:43","26.5","29.5","2017-06-14 16:06","24.3","2017-06-15 00:00","...","92","81","2017-06-14 15:56","2.7","62","10.6","66","2017-06-14 18:28","12.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1005.5","...","1006.5","2017-06-15 22:46","1004.5","2017-06-15 02:51","22.8","24.3","2017-06-15 00:01","22.1","2017-06-15 21:30","...","93","88","2017-06-15 07:25","4.6","50","10.7","69","2017-06-15 13:21","10.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1003.2","...","...","...","...","...","22.9","...","...","...","...","...","94","...","...","2.6","57","...","...","...","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1000.6","...","...","...","...","...","22.6","...","...","...","...","...","95","...","...","5.0","63","...","...","...","27.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1003.0","...","1004.6","2017-06-18 22:33","1000.7","2017-06-18 04:26","23.4","23.8","2017-06-18 21:39","22.5","2017-06-18 01:12","...","97","93","2017-06-18 04:04","2.6","68","10.9","77","2017-06-18 05:50","37.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1002.4","...","1003.7","2017-06-19 09:01","1001.0","2017-06-19 16:34","24.4","27.7","2017-06-19 13:54","23.3","2017-06-19 02:20","...","96","87","2017-06-19 13:55","2.0","63","9.4","206","2017-06-19 13:46","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.1","...","1002.4","2017-06-20 09:31","999.6","2017-06-20 16:25","27.2","29.5","2017-06-20 12:36","26.2","2017-06-20 03:40","...","90","79","2017-06-20 11:13","4.1","217","12.1","224","2017-06-20 12:48","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1002.4","...","1004.7","2017-06-21 22:54","1000.6","2017-06-21 16:20","27.7","29.8","2017-06-21 13:26","26.3","2017-06-21 03:22","...","93","85","2017-06-21 13:27","4.0","189","13.1","194","2017-06-21 13:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1004.4","...","1006.1","2017-06-22 22:53","1002.8","2017-06-22 03:37","28.3","30.9","2017-06-22 13:16","27.4","2017-06-22 06:12","...","93","81","2017-06-22 13:16","4.4","189","12.8","231","2017-06-22 10:21","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1003.7","...","1005.7","2017-06-23 00:09","1001.6","2017-06-23 15:59","28.8","31.8","2017-06-23 10:11","26.8","2017-06-23 05:10","...","89","72","2017-06-23 14:04","4.1","210","14.6","208","2017-06-23 15:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1001.9","...","1003.4","2017-06-24 09:12","999.8","2017-06-24 16:56","28.7","31.4","2017-06-24 11:46","27.1","2017-06-24 05:31","...","90","76","2017-06-24 13:54","4.6","216","13.3","204","2017-06-24 18:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1001.9","...","1003.8","2017-06-25 23:00","1000.2","2017-06-25 16:55","28.8","31.7","2017-06-25 11:35","27.4","2017-06-25 04:55","...","88","75","2017-06-25 11:35","5.0","231","14.1","232","2017-06-25 15:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1003.4","...","1005.1","2017-06-26 23:45","1001.1","2017-06-26 16:38","28.7","31.3","2017-06-26 12:39","27.3","2017-06-26 03:29","...","89","76","2017-06-26 12:40","4.9","228","15.5","224","2017-06-26 16:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1005.0","...","1007.2","2017-06-27 22:26","1003.3","2017-06-27 15:39","29.1","32.8","2017-06-27 12:38","27.0","2017-06-27 03:01","...","89","71","2017-06-27 12:38","2.7","208","11.1","211","2017-06-27 15:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1006.0","...","1008.0","2017-06-28 21:46","1004.3","2017-06-28 16:25","28.3","31.5","2017-06-28 13:43","26.5","2017-06-28 08:16","...","90","75","2017-06-28 13:43","2.7","190","8.9","197","2017-06-28 16:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1006.0","...","1007.2","2017-06-29 09:01","1004.0","2017-06-29 16:30","29.0","31.6","2017-06-29 13:17","27.6","2017-06-29 06:00","...","87","72","2017-06-29 10:40","2.5","141","9.5","170","2017-06-29 16:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1005.1","...","1006.0","2017-06-30 10:40","1003.3","2017-06-30 16:36","29.3","33.2","2017-06-30 13:39","26.7","2017-06-30 05:26","...","82","61","2017-06-30 13:39","2.2","171","7.6","187","2017-06-30 16:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
